name,LATITUDE,LONGITUDE,STATUS,COUNTY,Software,TYPE,Direction,Next_Exit,Descriptiv,link
DMS-06-063,-75.374461,39.851401,EXISTING,DELAWARE,DYNAC,PERMANENT,NB,,I-95 NB north of Kerlin St.,3987
DMS-06-062,-75.439704,39.823816,EXISTING,DELAWARE,DYNAC,PERMANENT,NB,,I-95 NB at the Rest Area,4886
DMS-06-073,-75.143859,39.938148,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,22,I-95 NB after Washington Ave/Columbus Blvd.,10086
DMS-06-005,-75.121513,39.972386,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,25,I-95 NB AFTER GIRARD OFF-RAMP,12625
DMS-06-008,-75.014742,40.036405,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,32,I-95 NB AT ASHBURNER ST.,21172
DMS-06-077,-74.894999,40.142132,EXISTING,BUCKS,DYNAC,PERMANENT,NB,44,I-95 NB North of PA Turnpike overpass,24283
DMS-06-185,-74.867912,40.251569,EXISTING,BUCKS,DYNAC,PERMANENT,SB,,I-95 SB south of the PA Welcome Center,24289
DMS-06-078,-74.89748,40.14831,EXISTING,BUCKS,DYNAC,PERMANENT,SB,40,I-95 SB south of Trenton Road,24297
DMS-06-012,-74.946071,40.076284,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,32,I-95 SB AFTER STREET RD.,26046
DMS-06-064,-75.283616,39.876465,EXISTING,DELAWARE,DYNAC,PERMANENT,SB,9,I-95 SB north of PA 420,47746
DMS-06-010,-74.984814,40.055017,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,35,I-95 NB BEFORE GRANT AVENUE,47780
DMS-06-079,-74.88754,40.18592,EXISTING,BUCKS,DYNAC,PERMANENT,SB,44,I-95 SB south of Woodbourne Road overpass,48888
DMS-06-001,-75.292368,39.87361,EXISTING,DELAWARE,DYNAC,PERMANENT,NB,10,I-95 NB NORTH OF PA 420,103609
DMS-06-P005,-75.34415,39.86649,EXISTING,DELAWARE,DYNAC,SEMI-PERMANENT,EB,999,I-95 NB RAMP TO NB I-476,104092
DMS-06-177,-75.23026,39.89326,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,17,I-95 NB APPROACHING BROAD ST/PA 611,107408
DMS-06-074,-75.143839,39.938216,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,19,I-95 SB before Washington Ave/Columbus Blvd.,110085
DMS-06-003,-75.093173,39.9859,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,25,I-95 SB NORTH OF ALLEGHENY AVENUE,114100
DMS-06-004,-75.086753,39.990903,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,25,I-95 SB SOUTH OF BETSY ROSS BRIDGE,117794
DMS-06-007,-75.051859,40.016299,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,27,I-95 SB AT LEVICK ST.,119401
DMS-06-006,-75.056798,40.013498,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,32,I-95 NB BEFORE COTTMAN AVE. EXIT 30,119402
DMS-06-009,-75.017063,40.035804,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,SB,30,I-95 SB SOUTH OF ASHBURNER ST.,121171
DMS-06-013,-74.948077,40.074427,EXISTING,PHILADELPHIA,DYNAC,PERMANENT,NB,37,I-95 NB BEFORE STREET RD.,124286
DMS-06-076,-74.914707,40.097813,EXISTING,BUCKS,DYNAC,PERMANENT,SB,37,I-95 SB before Street Road,124302
DMS-06-075,-74.914651,40.09787,EXISTING,BUCKS,DYNAC,PERMANENT,NB,40,I-95 NB North of Street Road,125558
DMS-06-002,-75.273333,39.875716,EXISTING,DELAWARE,DYNAC,PERMANENT,NB,12,I-95 NB NORTH OF AIRPORT EXIT 10,147745
DMS-06-011,-74.976787,40.061074,EXISTING,BUCKS,DYNAC,PERMANENT,SB,32,I-95 SB NEAR ACADEMY RD.,147779
DMS-06-082,-74.863307,40.252365,EXISTING,BUCKS,DYNAC,PERMANENT,NB,51,I-95 NB across from the Rest Area,154274
